trial,scale
1,2
2,3
3,2
4,1
5,2
6,2
7,2
8,3
9,2
10,1
11,1
12,1
13,2
14,5
15,1
16,1
17,2
18,3
19,1
20,2
21,4
22,2
23,2
24,2
25,2
26,2
27,1
28,2
29,1
30,1
31,2
32,2
33,3
34,2
35,3
36,1
37,2
38,3
39,1
40,1
41,1
42,3
43,3
44,5
45,5
46,3
47,2
48,1
49,4
50,2
51,1
52,2
53,1
54,1
55,3
56,2
57,1
58,2
59,1
60,2
61,3
62,1
63,2
64,4
65,3
66,1
67,1
68,2
69,2
70,3
71,2
72,2
73,1
74,2
75,2
76,2
77,2
78,2
79,2
80,1
81,1
82,1
83,3
84,6
85,1
86,3
87,6
88,1
89,3
90,1
91,1
92,3
93,6
94,6
95,4
96,6
97,3
98,1
99,6
100,1
101,1
102,1
103,4
104,6
105,6
106,3
107,6
108,1
109,1
110,5
111,1
112,2
113,2
114,5
115,1
116,2
117,2
118,2
119,2
120,1
121,1
122,4
123,1
124,3
125,3
126,1
127,3
128,1
129,1
130,1
131,4
132,2
133,1
134,2
135,1
136,3
137,2
138,2
139,2
140,2
141,2
142,4
143,1
144,2
145,2
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,3
154,3
155,3
156,1
157,1
158,1
159,1
160,2
161,1
162,2
163,1
164,3
165,2
166,3
167,2
168,1
169,3
170,2
171,3
172,1
173,4
174,2
175,4
176,3
177,2
178,1
179,1
180,1
181,2
182,2
183,2
184,1
185,3
186,2
187,3
188,1
189,2
190,3
191,2
192,2
193,1
194,2
195,2
196,3
197,3
198,2
199,2
200,2
201,2
202,3
203,1
204,3
205,2
206,2
207,3
208,1
209,2
210,1
211,2
212,2
213,1
214,3
215,2
216,3
217,1
218,1
219,1
220,1
221,3
222,2
223,3
224,2
225,3
226,3
227,1
228,4
229,2
230,2
231,3
232,2
233,1
234,2
235,2
236,3
237,3
238,3
239,3
240,2
241,1
242,2
243,2
244,1
245,1
246,2
247,1
248,2
249,1
250,4
251,2
252,2
253,1
254,1
255,1
256,2
257,2
258,2
259,2
260,2
261,1
262,3
263,2
264,2
265,2
266,2
267,3
268,2
269,2
270,3
271,3
272,2
273,2
274,2
275,3
276,1
277,1
278,3
279,1
280,1
281,1
282,1
283,1
284,1
285,2
286,2
287,2
288,2
289,2
290,2
291,1
292,2
293,2
294,4
295,2
296,1
297,3
298,3
299,1
300,1
301,2
302,3
303,2
304,2
305,1
306,4
307,1
308,2
309,1
310,4
311,1
312,2
313,3
314,2
315,1
316,1
317,4
318,1
319,2
320,2
321,1
322,2
323,1
324,2
325,1
326,3
327,3
328,3
329,2
330,3
331,5
332,2
333,2
334,2
335,1
336,1
337,1
338,2
339,3
340,1
341,2
342,2
343,3
344,2
345,1
346,2
347,1
348,1
349,2
350,1
351,2
352,4
353,2
354,4
355,4
356,2
357,1
358,3
359,1
360,2
361,4
362,1
363,3
364,2
365,2
366,2
367,2
368,2
369,3
370,2
371,1
372,1
373,2
374,3
375,3
376,1
377,1
378,1
379,2
380,2
381,1
382,1
383,3
384,4
385,2
386,2
387,1
388,2
389,1
390,1
391,4
392,2
393,1
394,2
395,3
396,2
397,2
398,4
399,1
400,2
401,3
402,1
403,2
404,3
405,2
406,3
407,2
408,1
409,2
410,4
411,2
412,1
413,3
414,2
415,1
416,1
417,2
418,3
419,2
420,2
421,2
422,4
423,3
424,1
425,2
426,3
427,1
428,1
429,1
430,2
431,1
432,1
433,2
434,2
435,1
436,1
437,1
438,2
439,2
440,2
441,2
442,1
443,2
444,3
445,2
446,4
447,1
448,3
449,1
450,2
451,2
452,1
453,3
454,1
455,1
456,1
457,1
458,2
459,4
460,2
461,2
462,3
463,2
464,2
465,3
466,1
467,2
468,2
469,4
470,2
471,2
472,5
473,1
474,3
475,3
476,2
477,1
478,1
479,2
480,2
481,2
482,1
483,1
484,2
485,1
486,1
487,2
488,1
489,2
490,3
491,2
492,3
493,1
494,2
495,2
496,3
497,3
498,1
499,4
500,2
