BP_change,Dose,Treatment,lbl_Animal
0.5,6.25,Control,R1
4.5,12.5,Control,R1
10,25,Control,R1
26,50,Control,R1
37,100,Control,R1
32,200,Control,R1
1,6.25,Control,R2
1.25,12.5,Control,R2
4,25,Control,R2
12,50,Control,R2
27,100,Control,R2
29,200,Control,R2
0.75,6.25,Control,R3
3,12.5,Control,R3
3,25,Control,R3
14,50,Control,R3
22,100,Control,R3
24,200,Control,R3
1.25,6.25,Control,R4
1.5,12.5,Control,R4
6,25,Control,R4
19,50,Control,R4
33,100,Control,R4
33,200,Control,R4
1.5,6.25,Control,R5
1.5,12.5,Control,R5
5,25,Control,R5
16,50,Control,R5
20,100,Control,R5
18,200,Control,R5
1.25,6.25,MDL,R1
0.75,12.5,MDL,R1
4,25,MDL,R1
9,50,MDL,R1
25,100,MDL,R1
37,200,MDL,R1
1.4,6.25,MDL,R2
1.7,12.5,MDL,R2
1,25,MDL,R2
2,50,MDL,R2
15,100,MDL,R2
28,200,MDL,R2
0.75,6.25,MDL,R3
2.3,12.5,MDL,R3
3,25,MDL,R3
5,50,MDL,R3
26,100,MDL,R3
25,200,MDL,R3
2.6,6.25,MDL,R4
1.2,12.5,MDL,R4
2,25,MDL,R4
3,50,MDL,R4
11,100,MDL,R4
22,200,MDL,R4
2.4,6.25,MDL,R5
2.5,12.5,MDL,R5
1.5,25,MDL,R5
2,50,MDL,R5
9,100,MDL,R5
19,200,MDL,R5
